Currency,Date,Open,High,Low,Close,Volume,Market Cap
ethereum,"Nov 16, 2019",180.50,184.16,179.99,183.35,6789888120.00,19908020821.00
ethereum,"Nov 15, 2019",186.06,186.25,179.38,180.52,8815678477.00,19598770324.00
ethereum,"Nov 14, 2019",188.27,188.63,184.99,186.00,7872664470.00,20191206220.00
ethereum,"Nov 13, 2019",186.94,189.33,185.94,188.26,7343173596.00,20434064781.00
ethereum,"Nov 12, 2019",185.56,187.95,184.19,186.84,7792186666.00,20278071676.00
ethereum,"Nov 11, 2019",189.50,190.34,185.09,185.49,7877424106.00,20128792760.00
ethereum,"Nov 10, 2019",184.94,190.92,184.69,189.48,8752784211.00,20559121065.00
ethereum,"Nov 09, 2019",184.31,185.84,183.90,185.03,7277418704.00,20074095541.00
ethereum,"Nov 08, 2019",187.92,188.82,182.54,184.21,9176780911.00,19983058356.00
ethereum,"Nov 07, 2019",191.50,191.86,186.57,187.98,9081247799.00,20389037934.00
ethereum,"Nov 06, 2019",189.11,193.55,188.67,191.59,10156458684.00,20778894603.00
ethereum,"Nov 05, 2019",186.31,191.26,184.33,189.30,10024177342.00,20528094420.00
ethereum,"Nov 04, 2019",182.32,188.02,181.82,186.36,10551917945.00,20205859402.00
ethereum,"Nov 03, 2019",183.99,185.02,179.82,182.43,8760247744.00,19777347724.00
ethereum,"Nov 02, 2019",184.02,185.71,182.80,183.93,8087991830.00,19937622287.00
ethereum,"Nov 01, 2019",183.80,185.06,181.09,183.97,9145611130.00,19940014311.00
ethereum,"Oct 31, 2019",184.80,188.75,180.07,183.97,9607939606.00,19937256794.00
ethereum,"Oct 30, 2019",190.34,191.11,181.55,184.69,10484902804.00,20013431227.00
ethereum,"Oct 29, 2019",182.67,191.85,182.36,190.34,10622761958.00,20623205054.00
ethereum,"Oct 28, 2019",184.40,187.88,180.25,182.66,10406734124.00,19788729316.00
ethereum,"Oct 27, 2019",179.93,188.16,177.68,184.24,10815941952.00,19957408085.00
ethereum,"Oct 26, 2019",181.67,195.94,176.13,179.84,13831784986.00,19477741705.00
ethereum,"Oct 25, 2019",162.19,183.00,161.97,181.52,10358594018.00,19658140299.00
ethereum,"Oct 24, 2019",162.51,164.15,160.89,162.17,7300917537.00,17560021218.00
ethereum,"Oct 23, 2019",172.26,172.42,157.46,162.40,9624925919.00,17583244177.00
ethereum,"Oct 22, 2019",174.91,175.65,172.27,172.30,6990951966.00,18652588580.00
ethereum,"Oct 21, 2019",175.52,177.74,173.29,174.92,6815820627.00,18933882640.00
ethereum,"Oct 20, 2019",172.97,176.72,171.21,175.53,6801091120.00,18997957789.00
ethereum,"Oct 19, 2019",173.65,175.61,172.22,172.91,6551453871.00,18711940303.00
ethereum,"Oct 18, 2019",177.99,178.18,171.01,173.62,7566257807.00,18786275035.00
ethereum,"Oct 17, 2019",175.91,178.90,174.57,178.03,6737237423.00,19260755682.00
